country_code,subnational1_code,subnational2_code,subnational2_name
CA,CA-NB,CA-NB-SJ,Saint John
CA,CA-SK,CA-SK-EL,Saskatoon
CA,CA-MB,CA-MB-TN,Selkirk Area
CA,CA-QC,CA-QC-SR,Sept-Rivières
CA,CA-QC,CA-QC-CM,Shawinigan
CA,CA-NS,CA-NS-SH,Shelburne
CA,CA-QC,CA-QC-SH,Sherbrooke
CA,CA-ON,CA-ON-SC,Simcoe
CA,CA-BC,CA-BC-SQ,Skeena-Queen Charlotte
CA,CA-AB,CA-AB-SN,Slave Lake
CA,CA-NL,CA-NL-TR,South Coast-Channel-Port aux Basques
CA,CA-MB,CA-MB-FT,South Interlake
CA,CA-MB,CA-MB-FI,South West Westman
CA,CA-BC,CA-BC-SL,Squamish-Lillooet
CA,CA-NL,CA-NL-FO,St. George's-Stephenville
CA,CA-AB,CA-AB-TV,St. Paul
CA,CA-MB,CA-MB-TW,Steinbach Area
CA,CA-AB,CA-AB-SE,Stettler
CA,CA-BC,CA-BC-ST,Stikine
CA,CA-ON,CA-ON-SD,"Stormont, Dundas and Glengarry"
CA,CA-ON,CA-ON-SB,Sudbury
CA,CA-NB,CA-NB-SU,Sunbury
CA,CA-BC,CA-BC-SC,Sunshine Coast
CA,CA-MB,CA-MB-TT,Swan River
CA,CA-SK,CA-SK-EI,Swift Current
CA,CA-MB,CA-MB-TY,Thompson and North Central
CA,CA-BC,CA-BC-TN,Thompson-Nicola
CA,CA-ON,CA-ON-TB,Thunder Bay
CA,CA-QC,CA-QC-TB,Thérèse-De Blainville
CA,CA-ON,CA-ON-TI,Timiskaming
CA,CA-ON,CA-ON-TO,Toronto
CA,CA-QC,CA-QC-FR,Trois-Rivières
CA,CA-QC,CA-QC-TM,Témiscamingue
CA,CA-QC,CA-QC-TT,Témiscouata
CA,CA-QC,CA-QC-VS,Vaudreuil-Soulanges
CA,CA-NS,CA-NS-VI,Victoria
CA,CA-NB,CA-NB-VI,Victoria
CA,CA-MB,CA-MB-SI,Virden Area
CA,CA-ON,CA-ON-WT,Waterloo
CA,CA-ON,CA-ON-WL,Wellington
CA,CA-MB,CA-MB-FN,Western Manitoba Westman
CA,CA-NB,CA-NB-WE,Westmorland
CA,CA-SK,CA-SK-TW,Weyburn
CA,CA-MB,CA-MB-TE,Whitehorse Plains
CA,CA-MB,CA-MB-EL,Winnipeg
CA,CA-SK,CA-SK-TE,Wynyard
CA,CA-NS,CA-NS-YA,Yarmouth
CA,CA-NB,CA-NB-YO,York
CA,CA-ON,CA-ON-YO,York
CA,CA-SK,CA-SK-NI,Yorkton
CA,CA-YT,CA-YT-YT,Yukon
